ID	Grade	Item	Hit	Miss	TL
1	3	1	20	10	15
1	3	2	21	9	15
1	3	3	16	14	12
1	3	4	13	17	10
1	3	5	16	14	12
1	3	6	13	17	10
1	3	7	14	16	11
1	3	8	14	16	11
1	3	9	20	10	15
1	3	10	20	10	15
1	3	11	14	16	11
1	3	12	12	18	10
1	3	13	16	14	12
1	3	14	13	17	10
1	3	15	21	9	15
1	3	16	14	16	11
1	3	17	18	12	14
1	3	18	11	19	10
1	3	19	17	13	13
1	3	20	18	12	14
2	3	1	25	5	15
2	3	2	25	5	15
2	3	3	29	1	12
2	3	4	20	10	10
2	3	5	25	5	12
2	3	6	28	2	10
2	3	7	28	2	11
2	3	8	28	2	11
2	3	9	29	1	15
2	3	10	29	1	15
2	3	11	29	1	11
2	3	12	29	1	10
2	3	13	23	7	12
2	3	14	28	2	10
2	3	15	27	3	15
2	3	16	28	2	11
2	3	17	29	1	14
2	3	18	25	5	10
2	3	19	24	6	13
2	3	20	22	8	14
3	3	1	20	10	15
3	3	2	21	9	15
3	3	3	14	16	12
3	3	4	11	12	10
3	3	5	11	19	12
3	3	6	12	18	10
3	3	7	8	22	11
3	3	8	11	19	11
3	3	9	17	13	15
3	3	10	17	13	15
3	3	11	11	19	11
3	3	12	10	20	10
3	3	13	9	21	12
3	3	14	14	16	10
3	3	15	20	10	15
3	3	16	13	17	11
3	3	17	18	12	14
3	3	18	8	22	10
3	3	19	13	17	13
3	3	20	15	15	14
4	3	1	27	3	15
4	3	2	20	10	15
4	3	3	17	13	12
4	3	4	13	17	10
4	3	5	17	13	12
4	3	6	15	15	10
4	3	7	18	12	11
4	3	8	16	14	11
4	3	9	20	10	15
4	3	10	21	9	15
4	3	11	17	13	11
4	3	12	17	13	10
4	3	13	21	9	12
4	3	14	16	14	10
4	3	15	23	7	15
4	3	16	23	7	11
4	3	17	22	8	14
4	3	18	15	15	10
4	3	19	23	7	13
4	3	20	16	14	14
5	3	1	23	7	15
5	3	2	25	5	15
5	3	3	15	15	12
5	3	4	21	9	10
5	3	5	13	17	12
5	3	6	18	12	10
5	3	7	14	16	11
5	3	8	18	12	11
5	3	9	14	16	15
5	3	10	20	10	15
5	3	11	21	9	11
5	3	12	18	12	10
5	3	13	11	19	12
5	3	14	16	14	10
5	3	15	26	4	15
5	3	16	21	9	11
5	3	17	16	14	14
5	3	18	25	5	10
5	3	19	12	18	13
5	3	20	18	12	14
6	3	1	28	2	15
6	3	2	30	0	15
6	3	3	26	4	12
6	3	4	29	1	10
6	3	5	27	3	12
6	3	6	29	1	10
6	3	7	29	1	11
6	3	8	28	2	11
6	3	9	28	2	15
6	3	10	28	2	15
6	3	11	30	0	11
6	3	12	29	1	10
6	3	13	26	4	12
6	3	14	26	4	10
6	3	15	30	0	15
6	3	16	27	3	11
6	3	17	30	0	14
6	3	18	29	1	10
6	3	19	30	0	13
6	3	20	29	1	14
7	3	1	20	10	15
7	3	2	25	5	15
7	3	3	20	10	12
7	3	4	19	11	10
7	3	5	16	14	12
7	3	6	26	4	10
7	3	7	18	12	11
7	3	8	18	12	11
7	3	9	20	10	15
7	3	10	25	5	15
7	3	11	20	10	11
7	3	12	17	13	10
7	3	13	17	13	12
7	3	14	25	5	10
7	3	15	22	8	15
7	3	16	20	10	11
7	3	17	20	10	14
7	3	18	21	9	10
7	3	19	19	11	13
7	3	20	26	4	14
8	3	1	29	1	15
8	3	2	20	10	15
8	3	3	16	14	12
8	3	4	23	7	10
8	3	5	15	15	12
8	3	6	22	8	10
8	3	7	13	17	11
8	3	8	24	6	11
8	3	9	23	7	15
8	3	10	25	5	15
8	3	11	12	18	11
8	3	12	11	19	10
8	3	13	15	15	12
8	3	14	16	14	10
8	3	15	21	9	15
8	3	16	14	16	11
8	3	17	17	13	14
8	3	18	15	15	10
8	3	19	15	15	13
8	3	20	17	13	14
9	3	1	28	2	15
9	3	2	29	1	15
9	3	3	18	12	12
9	3	4	17	13	10
9	3	5	20	10	12
9	3	6	23	7	10
9	3	7	27	3	11
9	3	8	21	9	11
9	3	9	29	1	15
9	3	10	29	1	15
9	3	11	29	1	11
9	3	12	21	9	10
9	3	13	20	10	12
9	3	14	29	1	10
9	3	15	29	1	15
9	3	16	25	5	11
9	3	17	20	10	14
9	3	18	23	7	10
9	3	19	20	10	13
9	3	20	28	2	14
10	3	1	30	0	15
10	3	2	24	6	15
10	3	3	24	6	12
10	3	4	23	7	10
10	3	5	29	1	12
10	3	6	27	3	10
10	3	7	17	13	11
10	3	8	23	7	11
10	3	9	18	12	15
10	3	10	25	5	15
10	3	11	13	17	11
10	3	12	12	18	10
10	3	13	12	18	12
10	3	14	18	12	10
10	3	15	26	4	15
10	3	16	27	3	11
10	3	17	15	15	14
10	3	18	16	14	10
10	3	19	16	14	13
10	3	20	14	16	14
11	3	1	23	7	15
11	3	2	19	11	15
11	3	3	17	13	12
11	3	4	24	6	10
11	3	5	22	8	12
11	3	6	19	11	10
11	3	7	18	12	11
11	3	8	18	12	11
11	3	9	24	6	15
11	3	10	24	6	15
11	3	11	25	5	11
11	3	12	26	4	10
11	3	13	18	12	12
11	3	14	26	4	10
11	3	15	29	1	15
11	3	16	30	0	11
11	3	17	26	4	14
11	3	18	25	5	10
11	3	19	21	9	13
11	3	20	23	7	14
12	3	1	13	17	15
12	3	2	18	12	15
12	3	3	14	16	12
12	3	4	13	17	10
12	3	5	13	17	12
12	3	6	14	16	10
12	3	7	16	14	11
12	3	8	13	17	11
12	3	9	15	15	15
12	3	10	18	12	15
12	3	11	15	15	11
12	3	12	14	16	10
12	3	13	14	16	12
12	3	14	25	5	10
12	3	15	18	12	15
12	3	16	19	11	11
12	3	17	15	15	14
12	3	18	15	15	10
12	3	19	18	12	13
12	3	20	20	10	14
13	3	1	20	10	15
13	3	2	16	14	15
13	3	3	18	12	12
13	3	4	18	12	10
13	3	5	12	18	12
13	3	6	18	12	10
13	3	7	16	14	11
13	3	8	21	9	11
13	3	9	24	6	15
13	3	10	24	6	15
13	3	11	19	11	11
13	3	12	18	12	10
13	3	13	16	14	12
13	3	14	15	15	10
13	3	15	20	10	15
13	3	16	21	9	11
13	3	17	19	11	14
13	3	18	18	12	10
13	3	19	17	13	13
13	3	20	22	8	14
14	3	1	28	2	15
14	3	2	27	3	15
14	3	3	21	9	12
14	3	4	28	2	10
14	3	5	23	7	12
14	3	6	28	2	10
14	3	7	29	1	11
14	3	8	29	1	11
14	3	9	27	3	15
14	3	10	27	3	15
14	3	11	20	10	11
14	3	12	24	6	10
14	3	13	14	16	12
14	3	14	26	4	10
14	3	15	25	5	15
14	3	16	23	7	11
14	3	17	24	6	14
14	3	18	25	5	10
14	3	19	29	1	13
14	3	20	27	3	14
15	3	1	15	15	15
15	3	2	20	10	15
15	3	3	18	12	12
15	3	4	24	6	10
15	3	5	17	13	12
15	3	6	27	3	10
15	3	7	25	5	11
15	3	8	16	14	11
15	3	9	19	11	15
15	3	10	21	9	15
15	3	11	18	12	11
15	3	12	18	12	10
15	3	13	10	20	12
15	3	14	16	14	10
15	3	15	21	9	15
15	3	16	16	14	11
15	3	17	16	14	14
15	3	18	16	14	10
15	3	19	16	14	13
15	3	20	13	17	14
16	3	1	27	3	15
16	3	2	29	1	15
16	3	3	18	12	12
16	3	4	27	3	10
16	3	5	24	6	12
16	3	6	27	3	10
16	3	7	25	5	11
16	3	8	29	1	11
16	3	9	28	2	15
16	3	10	29	1	15
16	3	11	24	6	11
16	3	12	20	10	10
16	3	13	22	8	12
16	3	14	25	5	10
16	3	15	26	4	15
16	3	16	28	2	11
16	3	17	24	6	14
16	3	18	25	5	10
16	3	19	23	7	13
16	3	20	22	8	14
17	3	1	9	21	15
17	3	2	20	10	15
17	3	3	28	2	12
17	3	4	17	13	10
17	3	5	25	5	12
17	3	6	19	11	10
17	3	7	13	17	11
17	3	8	18	12	11
17	3	9	19	11	15
17	3	10	22	8	15
17	3	11	17	13	11
17	3	12	21	9	10
17	3	13	14	16	12
17	3	14	21	9	10
17	3	15	26	4	15
17	3	16	21	9	11
17	3	17	16	14	14
17	3	18	22	8	10
17	3	19	13	17	13
17	3	20	17	13	14
18	3	1	17	13	15
18	3	2	25	5	15
18	3	3	20	10	12
18	3	4	20	10	10
18	3	5	18	12	12
18	3	6	23	7	10
18	3	7	17	13	11
18	3	8	27	3	11
18	3	9	15	5	15
18	3	10	20	10	15
18	3	11	19	11	11
18	3	12	22	8	10
18	3	13	15	5	12
18	3	14	20	10	10
18	3	15	15	15	15
18	3	16	21	9	11
18	3	17	20	10	14
18	3	18	22	8	10
18	3	19	17	13	13
18	3	20	20	10	14
19	3	1	28	2	15
19	3	2	21	9	15
19	3	3	19	11	12
19	3	4	17	13	10
19	3	5	18	12	12
19	3	6	19	11	10
19	3	7	18	12	11
19	3	8	19	11	11
19	3	9	19	11	15
19	3	10	22	8	15
19	3	11	29	1	11
19	3	12	22	8	10
19	3	13	20	10	12
19	3	14	20	10	10
19	3	15	19	11	15
19	3	16	26	4	11
19	3	17	24	6	14
19	3	18	24	6	10
19	3	19	24	6	13
19	3	20	25	5	14
20	3	1	27	3	15
20	3	2	18	12	15
20	3	3	15	15	12
20	3	4	26	4	10
20	3	5	15	15	12
20	3	6	26	4	10
20	3	7	28	2	11
20	3	8	22	8	11
20	3	9	17	13	15
20	3	10	27	3	15
20	3	11	18	12	11
20	3	12	17	13	10
20	3	13	16	14	12
20	3	14	18	12	10
20	3	15	24	6	15
20	3	16	24	6	11
20	3	17	18	12	14
20	3	18	19	11	10
20	3	19	17	13	13
20	3	20	19	11	14
21	3	1	29	1	15
21	3	2	20	10	15
21	3	3	22	8	12
21	3	4	17	13	10
21	3	5	16	14	12
21	3	6	24	6	10
21	3	7	20	10	11
21	3	8	20	10	11
21	3	9	16	14	15
21	3	10	25	5	15
21	3	11	23	7	11
21	3	12	16	14	10
21	3	13	25	5	12
21	3	14	17	13	10
21	3	15	19	11	15
21	3	16	20	10	11
21	3	17	20	10	14
21	3	18	20	10	10
21	3	19	18	12	13
21	3	20	21	9	14
22	3	1	30	1	15
22	3	2	22	8	15
22	3	3	17	13	12
22	3	4	22	8	10
22	3	5	17	13	12
22	3	6	23	8	10
22	3	7	14	16	11
22	3	8	27	3	11
22	3	9	26	4	15
22	3	10	26	4	15
22	3	11	16	14	11
22	3	12	13	17	10
